Year since Katrina,Affected by Katrina,Rural-urban Continuum Code ,Urban Influence Code,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Personal income (thousands of dollars), Net earnings by place of residence, Personal current transfer receipts,  Income maintenance benefits,  Unemployment insurance compensation,  Retirement and other," Dividends, interest, and rent", Population (persons), Per capita personal income, Per capita net earnings, Per capita personal current transfer receipts,  Per capita income maintenance benefits,  Per capita unemployment insurance compensation,  Per capita retirement and other," Per capita dividends, interest, and rent", Earnings by place of work,  Wages and salaries,  Supplements to wages and salaries,   Employer contributions for employee pension and insurance funds,   Employer contributions for government social insurance,  Proprietors' income,   Farm proprietors' income,   Nonfarm proprietors' income,Total employment (number of jobs), Wage and salary employment, Proprietors employment,  Farm proprietors employment,  Nonfarm proprietors employment,Average earnings per job (dollars), Average wages and salaries, Average nonfarm proprietors' income,Patent Grants
0,1,3,2,35.2,34.9,19.4,10.5,228769,124363,66536,13622,568,52346,37870,9675,23645,12854,6877,1408,59,5410,3914,108240,65493,21494,16617,4877,21253,15178,6075,3323,2517,806,269,537,32573,26020,11313,0
0,1,8,6,37.6,30.4,22,10,246603,126124,90003,18137,812,71054,30476,10881,22664,11591,8272,1667,75,6530,2801,115142,63260,18411,13528,4883,33471,19382,14089,3743,2744,999,309,690,30762,23054,20419,0
0,1,8,7,40.5,30.3,19.2,10.1,247621,122084,92295,21751,822,69722,33242,12369,20019,9870,7462,1759,66,5637,2688,174335,117508,30883,22364,8519,25944,11535,14409,4895,3668,1227,283,944,35615,32036,15264,0
0,1,9,10,34.9,37.5,19.8,7.8,338811,195273,99635,8909,854,89872,43903,15009,22574,13010,6638,594,57,5988,2925,182731,127420,34102,24169,9933,21209,5550,15659,6225,4468,1757,366,1391,29354,28518,11257,1
0,1,9,10,35,34.7,20.6,9.6,318924,174515,102487,13022,860,88605,41922,14545,21927,11998,7046,895,59,6092,2882,232983,178334,40884,28905,11979,13765,-98,13863,5542,4472,1070,215,855,42040,39878,16214,0
0,1,8,6,35.2,31.1,21.2,12.4,294745,163246,92791,19278,874,72639,38708,14143,20840,11543,6561,1363,62,5136,2737,163679,114217,32364,23633,8731,17098,12029,5069,5839,4284,1555,354,1201,28032,26661,4221,1
0,1,3,2,34.8,35.9,21.2,8.1,391336,239234,103354,17191,943,85220,48748,16622,23543,14393,6218,1034,57,5127,2933,168755,102861,29010,21306,7704,36884,23509,13375,5363,4046,1317,366,951,31467,25423,14064,0
0,1,1,1,36.8,35.7,20.4,7.1,471142,308075,111056,13974,975,96107,52011,22042,21375,13977,5038,634,44,4360,2360,180182,125477,34516,24725,9791,20189,3217,16972,6194,4526,1668,166,1502,29090,27724,11300,2
0,1,8,6,30.3,37.8,22.1,9.8,525012,312389,138087,18122,1074,118891,74536,20192,26001,15471,6839,897,53,5888,3691,215228,116082,32192,23371,8821,66954,36271,30683,6251,4519,1732,403,1329,34431,25688,23087,0
0,1,7,11,28.1,37.4,22.5,12.1,580216,342267,145057,21970,1239,121848,92892,21569,26900,15868,6725,1019,57,5649,4307,357896,241813,63671,45722,17949,52412,14998,37414,10345,8328,2017,433,1584,34596,29036,23620,0
0,1,6,4,37.4,34.3,20.1,8.3,617946,382202,158945,14992,1277,142676,76799,24629,25090,15518,6454,609,52,5793,3118,407420,251209,68052,47610,20442,88159,30189,57970,13111,9697,3414,530,2884,31075,25906,20101,1
0,1,7,11,32.1,34.4,21.7,11.8,566844,360780,137461,20015,1461,115985,68603,23683,23935,15234,5804,845,62,4897,2897,436249,325181,78731,54067,24664,32337,10039,22298,12442,9868,2574,398,2176,35063,32953,10247,1
0,1,8,4,36.8,32.9,22.3,8,724133,439193,188850,17393,1489,169968,96090,30494,23747,14403,6193,570,49,5574,3151,507119,344313,92905,65095,27810,69901,20077,49824,15496,12731,2765,644,2121,32726,27045,23491,0
0,1,7,11,29.2,37.7,21.1,12.1,635742,367822,172245,27430,1600,143215,95675,26764,23754,13743,6436,1025,60,5351,3575,400473,282202,74401,53490,20911,43870,8092,35778,13197,10270,2927,258,2669,30346,27478,13405,0
0,1,6,3,29.6,32,26.5,11.9,2194939,1450655,456516,37162,3860,415494,287768,78692,27893,18435,5801,472,49,5280,3657,1349883,839528,212745,149516,63229,297610,152245,145365,39086,29051,10035,2001,8034,34536,28898,18094,6
0,1,3,2,26.7,33.9,25.3,14.1,1450904,886891,357490,30354,4909,322227,206523,54359,26691,16315,6576,558,90,5928,3799,1122078,777363,207868,147630,60238,136847,15507,121340,28652,23519,5133,559,4574,39162,33053,26528,4
0,1,3,2,23.6,34.1,23.8,18.5,2429403,1462942,507618,41522,6113,459983,458843,89358,27187,16372,5681,465,68,5148,5135,1289633,854407,223910,158023,65887,211316,29770,181546,42490,33055,9435,1348,8087,30351,25848,22449,8
0,1,4,5,18,29.6,29.3,23.1,5237162,3214283,848385,60698,7448,780239,1174494,162183,32292,19819,5231,374,46,4811,7242,2585394,1709193,408463,278599,129864,467738,-3504,471242,82612,61348,21264,896,20368,31296,27861,23136,9
0,1,3,2,21.2,28.4,26.4,24,5175022,3334284,907674,96625,7887,803162,933064,175731,29449,18974,5165,550,45,4570,5310,4101551,3039823,778614,559591,219023,283114,7102,276012,103621,89254,14367,472,13895,39582,34058,19864,7
0,1,2,2,23.3,31.9,26.2,18.6,10863211,6864857,2330697,358252,22101,1950344,1667657,398942,27230,17208,5842,898,55,4889,4180,8412310,6143627,1471044,1010016,461028,797639,6858,790781,218945,184313,34632,650,33982,38422,33333,23271,16
0,1,1,1,19.1,27.9,28.4,24.6,24773644,15747150,3537900,402901,36317,3098682,5488594,654919,37827,24044,5402,615,55,4731,8381,22338561,16343453,3632624,2447623,1185001,2362484,-1057,2363541,460333,398358,61975,384,61591,48527,41027,38375,42
0,1,6,7,31.7,36.4,19.5,12.4,299675,158520,59384,6662,498,52224,81771,10198,29386,15544,5823,653,49,5121,8018,161909,95000,25309,18718,6591,41600,0,41600,5214,3458,1756,0,1756,31053,27473,23690,1
0,1,6,6,27.4,37.1,25.3,10.1,365012,209528,86491,7921,587,77983,68993,15781,23130,13277,5481,502,37,4942,4372,203560,130786,39226,30150,9076,33548,0,33548,5866,4303,1563,0,1563,34702,30394,21464,0
0,1,6,6,24,32.3,27.4,16.2,1623366,976937,251601,22808,1470,227323,394828,49392,32867,19779,5094,462,30,4602,7994,959894,595370,139982,98578,41404,224542,-774,225316,27171,19461,7710,561,7149,35328,30593,31517,14
