Year since Katrina,Affected by Katrina,Rural-urban Continuum Code ,Urban Influence Code,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Personal income (thousands of dollars), Net earnings by place of residence, Personal current transfer receipts,  Income maintenance benefits,  Unemployment insurance compensation,  Retirement and other," Dividends, interest, and rent", Population (persons), Per capita personal income, Per capita net earnings, Per capita personal current transfer receipts,  Per capita income maintenance benefits,  Per capita unemployment insurance compensation,  Per capita retirement and other," Per capita dividends, interest, and rent", Earnings by place of work,  Wages and salaries,  Supplements to wages and salaries,   Employer contributions for employee pension and insurance funds,   Employer contributions for government social insurance,  Proprietors' income,   Farm proprietors' income,   Nonfarm proprietors' income,Total employment (number of jobs), Wage and salary employment, Proprietors employment,  Farm proprietors employment,  Nonfarm proprietors employment,Average earnings per job (dollars), Average wages and salaries, Average nonfarm proprietors' income,Patent Grants
3,0,9,10,14.5,39.9,31.3,14.3,241867,149068,47858,3028,438,44392,44941,6704,36078,22236,7139,452,65,6622,6704,143121,64880,16569,11501,5068,61672,53170,8502,3834,2329,1505,580,925,37329,27857,9191,1
8,0,6,6,9.7,41.1,28.3,20.8,328881,198026,67194,7386,436,59372,63661,10282,31986,19259,6535,718,42,5774,6191,173613,92399,22827,15899,6928,58387,18769,39618,5301,3090,2211,570,1641,32751,29903,24143,0
7,0,6,6,15.3,37.5,30.1,17.1,335363,192126,90191,8763,1009,80419,53046,9348,35875,20553,9648,937,108,8603,5675,170624,85371,24157,16928,7229,61096,35204,25892,4264,2626,1638,594,1044,40015,32510,24801,0
7,0,3,2,8.4,37.2,34.1,20.3,701461,470825,125272,10308,5060,109904,105364,16493,42531,28547,7595,625,307,6664,6388,429503,268612,78472,60291,18181,82419,41285,41134,7412,5559,1853,420,1433,57947,48320,28705,0
5,0,3,2,11.1,36.8,31.8,20.4,2571457,1462731,740432,74985,42319,623128,368294,82750,31075,17677,8948,906,511,7530,4451,2032864,1559693,374944,259160,115784,98227,59,98168,44555,37275,7280,452,6828,45626,41843,14377,46
9,0,3,2,14.6,33.2,33.7,18.5,1215594,688875,328055,26605,3295,298155,198664,34341,35398,20060,9553,775,96,8682,5785,744962,546432,143041,99797,43244,55489,4359,51130,16785,14103,2682,394,2288,44383,38746,22347,2
7,0,6,4,30.6,23.2,30.5,15.7,809558,510353,150504,17701,16495,116308,148701,21350,37918,23904,7049,829,773,5448,6965,600114,320295,97409,72443,24966,182410,107905,74505,10937,8526,2411,655,1756,54870,37567,42429,0
6,0,3,2,15.5,40.4,33.3,10.8,334612,212858,85751,8018,2896,74837,36003,9502,35215,22401,9025,844,305,7876,3789,139203,58059,17014,12425,4589,64130,48883,15247,3056,1923,1133,371,762,45551,30192,20009,0
8,0,4,5,22.9,34.8,29.4,12.8,3544162,1806885,1314848,220778,22082,1071988,422429,135217,26211,13363,9724,1633,163,7928,3124,1960724,1327027,362747,256882,105865,270950,70617,200333,53194,41289,11905,802,11103,36860,32140,18043,2
7,0,2,2,8.6,30.2,31.7,29.5,11243567,7626815,1539480,140832,70124,1328524,2077272,252761,44483,30174,6091,557,277,5256,8218,9628711,6889099,1819962,1277594,542368,919650,77058,842592,182467,156650,25817,1017,24800,52770,43978,33975,28
2,0,6,6,18.8,39.9,30.4,10.8,1527202,961437,375969,42826,15891,317252,189796,63560,24028,15126,5915,674,250,4991,2986,780176,534721,161872,118637,43235,83583,15249,68334,23832,16807,7025,1095,5930,32736,31815,11523,6
